"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6439","TC019: View & Cart Brand Products","Desktop Firefox","2026-04-14","passed","2026-04-14","Products Browsing and Search","products.spec.ts","",""
"","15050","TC-L-003: Login with a locked-out user account","Desktop Firefox","2026-04-14","failed","2026-04-14","Login Module","saucedemo/login.spec.ts","",""
"","119","TC-CU-005: Partial update (PATCH) of an existing booking","Desktop Firefox","2026-04-14","passed","2026-04-14","Booking Management — CREATE / UPDATE","api/booking-create-update.spec.ts","",""
"","11078","TC009: Search Product","Desktop Firefox","2026-04-14","passed","2026-04-14","Products Browsing and Search","products.spec.ts","",""
"","7236","TC003.1: Login User with incorrect email and password","Desktop Firefox","2026-04-14","passed","2026-04-14","User Login Flow","login.spec.ts","",""
"","6341","TC002: Login User with correct email and password","Desktop Firefox","2026-04-14","passed","2026-04-14","User Login Flow","login.spec.ts","",""
"","15900","TC-P-005: Add a specific product by name to cart","Desktop Firefox","2026-04-14","failed","2026-04-14","Product Catalog","saucedemo/products.spec.ts","",""
"","15241","TC-P-002: Product listing displays at least 6 items with valid names","Desktop Firefox","2026-04-14","failed","2026-04-14","Product Catalog","saucedemo/products.spec.ts","",""
"","124","TC-CU-003: Full update (PUT) of an existing booking with valid auth token","Desktop Firefox","2026-04-14","passed","2026-04-14","Booking Management — CREATE / UPDATE","api/booking-create-update.spec.ts","",""
"Verify login with valid email and password","1420","API-007: POST To Verify Login with valid details","Desktop Firefox","2026-04-14","passed","2026-04-14","AutomationExercise API Tests","api-tests.spec.ts","",""
"","14348","TC001: Register User with valid details","Desktop Firefox","2026-04-14","passed","2026-04-14","User Registration Flow","signup.spec.ts","",""
"","260","TC-GET-001: Get all bookings returns a non-empty array","Desktop Firefox","2026-04-14","passed","2026-04-14","Booking Management — GET","api/booking-get.spec.ts","",""
"","142","TC-DEL-001: Delete an existing booking with valid auth token","Desktop Firefox","2026-04-14","passed","2026-04-14","Booking Management — DELETE","api/booking-delete.spec.ts","",""
